,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Primary,Secondary,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,Total,None,,
Housing,,778.0,509.6,1170.5,674.2,382.2,40.0,988.9,,,,,,649,4543,,,
,Mortage,648.1,0.0,583.9,568.7,0.0,0.0,339.5,,,,,,306,2140,,,
,CondoFee,0.0,404.6,323.4,0.0,323.4,0.0,323.4,,,,,,196,1375,,,
,Internet,49.8,0.0,25.0,0.0,24.9,40.0,46.9,,,,,,27,187,,,
,Furniture,44.0,0.0,32.4,105.5,0.0,0.0,204.0,,,,,,55,386,,,
,Insurances,0.0,0.0,0.0,0.0,0.0,0.0,513.9,,,,,,73,514,,,
,Cleaning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,,,
,Electricity,36.1,36.1,36.9,0.0,0.0,0.0,73.2,,,,,,26,182,,,
,Phone,0.0,30.9,0.0,0.0,0.0,0.0,0.0,,,,,,4,31,,,
Health,,80.0,144.4,191.7,395.1,425.0,102.0,148.0,,,,,,212,1486,,,
,Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,,,
,Doctors,50.0,100.0,149.0,49.0,252.0,102.0,148.0,,,,,,121,850,,,
,Medicines,0.0,44.4,42.7,67.3,0.0,0.0,0.0,,,,,,22,154,,,
,Personal,30.0,0.0,0.0,0.0,30.0,0.0,0.0,,,,,,9,60,,,
,Sport,0.0,0.0,0.0,278.8,0.0,0.0,0.0,,,,,,40,279,,,
Groceries,,368.9,270.1,220.9,201.1,197.1,128.0,381.5,,,,,,253,1768,,,
,Everli,339.8,242.0,220.9,184.0,116.0,128.0,278.4,,,,,,216,1509,,,
,OtherGroceries,29.1,44.9,0.0,17.1,224.0,0.0,103.1,,,,,,60,418,,,
Transport,,181.0,817.1,240.1,55.9,367.0,171.0,79.9,,,,,,273,1912,,,
,Local,62.0,101.8,0.0,0.0,173.0,52.0,0.0,,,,,,56,389,,,
,CarSharing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,,,
